city,country,country_code,latitude,longitude,population,timezone
Baghlān,Afghanistan,AF,36.13068,68.70829,108449,Asia/Kabul
Balkh,Afghanistan,AF,36.75635,66.8972,114883,Asia/Kabul
Gardez,Afghanistan,AF,33.59744,69.22592,103601,Asia/Kabul
Ghazni,Afghanistan,AF,33.55391,68.42096,141000,Asia/Kabul
Herāt,Afghanistan,AF,34.34817,62.19967,574300,Asia/Kabul
Jalālābād,Afghanistan,AF,34.42647,70.45153,271900,Asia/Kabul
Kabul,Afghanistan,AF,34.52813,69.17233,4434550,Asia/Kabul
Kandahār,Afghanistan,AF,31.61332,65.71013,523300,Asia/Kabul
Kunduz,Afghanistan,AF,36.72895,68.857,161902,Asia/Kabul
Mazār-e Sharīf,Afghanistan,AF,36.70904,67.11087,523300,Asia/Kabul
Durrës,Albania,AL,41.32355,19.45469,195920,Europe/Tirane
Elbasan,Albania,AL,41.11138,20.08224,100903,Europe/Tirane
Tirana,Albania,AL,41.32744,19.81866,418495,Europe/Tirane
Vlorë,Albania,AL,40.4696,19.48379,115261,Europe/Tirane
Algiers,Algeria,DZ,36.73225,3.08746,2364230,Africa/Algiers
Annaba,Algeria,DZ,36.9,7.76667,342703,Africa/Algiers
Aïn Beïda,Algeria,DZ,35.79639,7.39278,116064,Africa/Algiers
Bab Ezzouar,Algeria,DZ,36.72615,3.18291,275630,Africa/Algiers
Baraki,Algeria,DZ,36.66655,3.09606,105402,Africa/Algiers
Batna City,Algeria,DZ,35.55597,6.17414,289504,Africa/Algiers
Biskra,Algeria,DZ,34.85038,5.72805,204661,Africa/Algiers
Blida,Algeria,DZ,36.47004,2.8277,331779,Africa/Algiers
Bordj Bou Arreridj,Algeria,DZ,36.07389,4.76139,158812,Africa/Algiers
Bordj el Kiffan,Algeria,DZ,36.74871,3.19249,123246,Africa/Algiers
Bou Saâda,Algeria,DZ,35.20855,4.17402,111787,Africa/Algiers
Béchar,Algeria,DZ,31.61667,-2.21667,165241,Africa/Algiers
Béjaïa,Algeria,DZ,36.75587,5.08433,176139,Africa/Algiers
Chlef,Algeria,DZ,36.16525,1.33452,178616,Africa/Algiers
Constantine,Algeria,DZ,36.365,6.61472,448028,Africa/Algiers
Djelfa,Algeria,DZ,34.67279,3.263,265833,Africa/Algiers
El Achir,Algeria,DZ,36.06386,4.62744,158333,Africa/Algiers
El Eulma,Algeria,DZ,36.15281,5.69016,145380,Africa/Algiers
El Oued,Algeria,DZ,33.35608,6.86319,186525,Africa/Algiers
Ghardaïa,Algeria,DZ,32.49094,3.67347,142913,Africa/Algiers
Guelma,Algeria,DZ,36.46214,7.42608,120004,Africa/Algiers
Jijel,Algeria,DZ,36.821,5.76352,131513,Africa/Algiers
Khenchela,Algeria,DZ,35.43583,7.14333,114472,Africa/Algiers
Laghouat,Algeria,DZ,33.8,2.86514,134372,Africa/Algiers
M'Sila,Algeria,DZ,35.70889,4.53722,132975,Africa/Algiers
Mascara,Algeria,DZ,35.39664,0.14027,108629,Africa/Algiers
Mostaganem,Algeria,DZ,35.93115,0.08918,162885,Africa/Algiers
Médéa,Algeria,DZ,36.26417,2.75393,145441,Africa/Algiers
Oran,Algeria,DZ,35.69906,-0.63588,803329,Africa/Algiers
Ouargla,Algeria,DZ,31.94932,5.32502,169928,Africa/Algiers
Relizane,Algeria,DZ,35.73734,0.55599,123255,Africa/Algiers
Rouiba,Algeria,DZ,36.73829,3.28079,117558,Africa/Algiers
Saïda,Algeria,DZ,34.83033,0.15171,142497,Africa/Algiers
Sidi Bel Abbes,Algeria,DZ,35.18994,-0.63085,210146,Africa/Algiers
Skikda,Algeria,DZ,36.87617,6.90921,182903,Africa/Algiers
Souk Ahras,Algeria,DZ,36.28639,7.95111,153479,Africa/Algiers
Sétif,Algeria,DZ,36.19112,5.41373,252127,Africa/Algiers
Tiaret,Algeria,DZ,35.37103,1.31699,178915,Africa/Algiers
Tizi Ouzou,Algeria,DZ,36.71182,4.04591,104312,Africa/Algiers
Tlemcen,Algeria,DZ,34.87833,-1.315,173531,Africa/Algiers
Touggourt,Algeria,DZ,33.11083,6.07,143270,Africa/Algiers
Tébessa,Algeria,DZ,35.40417,8.12417,194461,Africa/Algiers
Benguela,Angola,AO,-12.57674,13.40268,555124,Africa/Luanda
Cabinda,Angola,AO,-5.56198,12.19476,550000,Africa/Luanda
Caála,Angola,AO,-12.8525,15.56056,130000,Africa/Luanda
Chitato,Angola,AO,-7.3,20.73333,246880,Africa/Luanda
Cuíto,Angola,AO,-12.38333,16.93333,355423,Africa/Luanda
Dundo,Angola,AO,-7.36643,20.81557,177604,Africa/Luanda
Gabela,Angola,AO,-10.85147,14.37993,116903,Africa/Luanda
Huambo,Angola,AO,-12.77611,15.73917,595304,Africa/Luanda
Lobito,Angola,AO,-12.3644,13.53601,357950,Africa/Luanda
Luanda,Angola,AO,-8.83682,13.23432,2776168,Africa/Luanda
Lubango,Angola,AO,-14.91717,13.4925,600751,Africa/Luanda
Lucapa,Angola,AO,-8.41915,20.74466,110000,Africa/Luanda
Luena,Angola,AO,-11.78333,19.91667,273675,Africa/Luanda
Malanje,Angola,AO,-9.54015,16.34096,455000,Africa/Luanda
Mbanza Kongo,Angola,AO,-6.26667,14.23833,148000,Africa/Luanda
Menongue,Angola,AO,-14.6585,17.69099,251178,Africa/Luanda
Mossamedes,Angola,AO,-15.19611,12.15222,255000,Africa/Luanda
N'dalatando,Angola,AO,-9.29782,14.91162,161584,Africa/Luanda
Ondjiva,Angola,AO,-17.06667,15.73333,121537,Africa/Luanda
Saurimo,Angola,AO,-9.66078,20.39155,393000,Africa/Luanda
Soyo,Angola,AO,-6.1349,12.36894,200920,Africa/Luanda
Sumbe,Angola,AO,-11.20605,13.84371,205832,Africa/Luanda
Uíge,Angola,AO,-7.60874,15.06131,322531,Africa/Luanda
Bahía Blanca,Argentina,AR,-38.7176,-62.26545,299101,America/Argentina/Buenos_Aires
Balvanera,Argentina,AR,-34.61032,-58.39766,152198,America/Argentina/Buenos_Aires
Belgrano,Argentina,AR,-34.5627,-58.45829,138942,America/Argentina/Buenos_Aires
Berazategui,Argentina,AR,-34.76531,-58.21278,180523,America/Argentina/Buenos_Aires
Buenos Aires,Argentina,AR,-34.61315,-58.37723,2891082,America/Argentina/Buenos_Aires
Castelar,Argentina,AR,-34.65142,-58.64074,107786,America/Argentina/Buenos_Aires
Catamarca,Argentina,AR,-28.46957,-65.78524,159139,America/Argentina/Catamarca
Comodoro Rivadavia,Argentina,AR,-45.86256,-67.494,140850,America/Argentina/Catamarca
Concordia,Argentina,AR,-31.39195,-58.01706,145210,America/Argentina/Cordoba
Corrientes,Argentina,AR,-27.46784,-58.8344,346334,America/Argentina/Cordoba
Córdoba,Argentina,AR,-31.40648,-64.18853,2106734,America/Argentina/Cordoba
Formosa,Argentina,AR,-26.18489,-58.17313,222226,America/Argentina/Cordoba
Ituzaingó,Argentina,AR,-27.58504,-56.68707,168419,America/Argentina/Cordoba
José C. Paz,Argentina,AR,-34.51541,-58.76813,230208,America/Argentina/Buenos_Aires
La Plata,Argentina,AR,-34.92126,-57.95442,195443,America/Argentina/Buenos_Aires
La Rioja,Argentina,AR,-29.41328,-66.85637,178872,America/Argentina/La_Rioja
Mar del Plata,Argentina,AR,-38.00042,-57.5562,593337,America/Argentina/Buenos_Aires
Mendoza,Argentina,AR,-32.88946,-68.84582,114893,America/Argentina/Mendoza
Merlo,Argentina,AR,-34.66536,-58.72744,268961,America/Argentina/Buenos_Aires
Neuquén,Argentina,AR,-38.95078,-68.0592,231198,America/Argentina/Salta
Paraná,Argentina,AR,-31.73271,-60.52897,247139,America/Argentina/Cordoba
Posadas,Argentina,AR,-27.39184,-55.92379,305874,America/Argentina/Cordoba
Quilmes,Argentina,AR,-34.72065,-58.25454,262379,America/Argentina/Buenos_Aires
Resistencia,Argentina,AR,-27.46363,-58.98665,290793,America/Argentina/Cordoba
Rosario,Argentina,AR,-32.94682,-60.63932,948312,America/Argentina/Cordoba
Río Cuarto,Argentina,AR,-33.13044,-64.35272,157010,America/Argentina/Cordoba
Salta,Argentina,AR,-24.80645,-65.41999,520683,America/Argentina/Salta
San Juan,Argentina,AR,-31.53726,-68.52568,109123,America/Argentina/San_Juan
San Luis,Argentina,AR,-33.2914,-66.32467,169947,America/Argentina/San_Luis
San Miguel,Argentina,AR,-34.54335,-58.71229,168762,America/Argentina/Buenos_Aires
San Miguel de Tucumán,Argentina,AR,-26.81601,-65.21051,548866,America/Argentina/Tucuman
San Nicolás de los Arroyos,Argentina,AR,-33.33425,-60.2108,134217,America/Argentina/Buenos_Aires
San Rafael,Argentina,AR,-34.61531,-68.33238,118009,America/Argentina/Mendoza
San Salvador de Jujuy,Argentina,AR,-24.1928,-65.29342,257970,America/Argentina/Jujuy
Santa Fe,Argentina,AR,-31.64881,-60.70868,391164,America/Argentina/Cordoba
Santa Rosa,Argentina,AR,-36.61617,-64.28991,102860,America/Argentina/Salta
Santiago del Estero,Argentina,AR,-27.80047,-64.26285,252192,America/Argentina/Cordoba
Tandil,Argentina,AR,-37.3287,-59.1369,115877,America/Argentina/Buenos_Aires
Villa Lugano,Argentina,AR,-34.67907,-58.47263,114000,America/Argentina/Buenos_Aires
Ajapnyak,Armenia,AM,40.19917,44.47056,122300,Asia/Yerevan
Arabkir,Armenia,AM,40.20624,44.50365,118870,Asia/Yerevan
Erebuni,Armenia,AM,40.13309,44.53009,129500,Asia/Yerevan
Gyumri,Armenia,AM,40.79305,43.84635,112301,Asia/Yerevan
Kentron,Armenia,AM,40.17806,44.51303,132800,Asia/Yerevan
Malatia-Sebastia,Armenia,AM,40.17396,44.4457,150000,Asia/Yerevan
Nor Nork,Armenia,AM,40.19661,44.5669,136900,Asia/Yerevan
Shengavit,Armenia,AM,40.1557,44.4779,140400,Asia/Yerevan
Yerevan,Armenia,AM,40.17765,44.5126,1141100,Asia/Yerevan
Adelaide,Australia,AU,-34.92866,138.59863,1469163,Australia/Adelaide
Ballarat,Australia,AU,-37.56622,143.84957,116201,Australia/Melbourne
Bendigo,Australia,AU,-36.75818,144.28024,103034,Australia/Melbourne
Brisbane,Australia,AU,-27.46794,153.02809,2780063,Australia/Brisbane
Cairns,Australia,AU,-16.92366,145.76613,153075,Australia/Brisbane
Canberra,Australia,AU,-35.28346,149.12807,367752,Australia/Sydney
City of Port Phillip,Australia,AU,-37.83382,144.93834,112669,Australia/Melbourne
Darwin,Australia,AU,-12.46113,130.84185,139902,Australia/Darwin
Geelong,Australia,AU,-38.14711,144.36069,268984,Australia/Melbourne
Gold Coast,Australia,AU,-28.00029,153.43088,640778,Australia/Brisbane
Hobart,Australia,AU,-42.87936,147.32941,252639,Australia/Hobart
Logan City,Australia,AU,-27.63917,153.10944,326615,Australia/Brisbane
Mackay,Australia,AU,-21.15345,149.16554,121691,Australia/Brisbane
Melbourne,Australia,AU,-37.814,144.96332,5350705,Australia/Melbourne
Newcastle,Australia,AU,-32.92953,151.7801,508437,Australia/Sydney
Perth,Australia,AU,-31.95224,115.8614,2309338,Australia/Perth
Sunshine Coast,Australia,AU,-26.65682,153.07955,346522,Australia/Brisbane
Sydney,Australia,AU,-33.86785,151.20732,5557233,Australia/Sydney
Toowoomba,Australia,AU,-27.56056,151.95386,140303,Australia/Brisbane
Townsville,Australia,AU,-19.26639,146.80569,180820,Australia/Brisbane
Wollongong,Australia,AU,-34.424,150.89345,280153,Australia/Sydney
Donaustadt,Austria,AT,48.2333,16.46002,187007,Europe/Vienna
Favoriten,Austria,AT,48.16116,16.38233,201882,Europe/Vienna
Floridsdorf,Austria,AT,48.25,16.4,162779,Europe/Vienna
Graz,Austria,AT,47.06733,15.44197,303270,Europe/Vienna
Innsbruck,Austria,AT,47.26266,11.39454,132493,Europe/Vienna
Klagenfurt am Wörthersee,Austria,AT,46.62472,14.30528,100316,Europe/Vienna
Linz,Austria,AT,48.30639,14.28611,204846,Europe/Vienna
Ottakring,Austria,AT,48.21667,16.3,104627,Europe/Vienna
Salzburg,Austria,AT,47.79941,13.04399,157245,Europe/Vienna
Simmering,Austria,AT,48.18333,16.43333,101420,Europe/Vienna
